id_no,time,lat,lon,depth,mag,event_type,mrr,mtt,mpp,mrt,mrp,mtp,type,moment_lat,moment_lon,moment_depth,moment_duration
0,9-5-2012T15:15:25.6,9.8892,-85.3559,23.5000,3.3000,earthquake,1035404999999999967232.0000,-552788600000000032768.0000,-482616800000000000000.0000,74143129999999991808.0000,-368506400000000000000.0000,558884499999999983616.0000,nan,9.8892,-85.3559,23.5000,nan
1,9-5-2012T15:35:46.57,9.7316,-85.2349,20.9000,3.9000,earthquake,863774599999999967232.0000,416653100000000016384.0000,-1280428000000000131072.0000,8100613999999999541248.0000,1396595999999999868928.0000,-3253120000000000000000.0000,nan,9.7316,-85.2349,20.9000,nan
2,9-5-2012T15:47:15.59,10.0080,-85.5981,22.5000,3.5000,earthquake,1987376000000000000000.0000,-1731630999999999901696.0000,-255745500000000016384.0000,985412600000000032768.0000,-54424850000000000000.0000,728741600000000000000.0000,nan,10.0080,-85.5981,22.5000,nan
3,9-5-2012T16:9:33.82,9.9365,-85.4552,24.6000,3.0000,earthquake,268333800000000000000.0000,-281801900000000016384.0000,13468110000000000000.0000,273666000000000000000.0000,-60159160000000000000.0000,-64643380000000000000.0000,nan,9.9365,-85.4552,24.6000,nan
4,9-5-2012T16:31:49.96,9.6240,-85.1745,17.8000,3.1000,earthquake,180289100000000016384.0000,-474407100000000016384.0000,294118000000000000000.0000,232977100000000016384.0000,-299672800000000000000.0000,10480900000000000000.0000,nan,9.6240,-85.1745,17.8000,nan
5,9-5-2012T16:35:10.56,9.9175,-85.5670,21.5000,3.0000,earthquake,267726499999999983616.0000,-315884899999999983616.0000,48158470000000000000.0000,-79793830000000008192.0000,-169051699999999983616.0000,191451699999999983616.0000,nan,9.9175,-85.5670,21.5000,nan
6,9-5-2012T16:46:42.83,9.8892,-85.6611,21.4000,3.2000,earthquake,438269200000000000000.0000,2545198000000000000.0000,-440814400000000000000.0000,-88792840000000000000.0000,-601194699999999950848.0000,261603200000000000000.0000,nan,9.8892,-85.6611,21.4000,nan
7,9-5-2012T16:49:6,9.9756,-85.5956,22.7000,2.9000,earthquake,122347400000000000000.0000,-133128800000000000000.0000,10781420000000000000.0000,235845299999999983616.0000,-85908400000000000000.0000,5037183000000000000.0000,nan,9.9756,-85.5956,22.7000,nan
8,9-5-2012T16:51:50.6,9.6713,-85.1878,19.4000,2.9000,earthquake,126657300000000000000.0000,-116488400000000000000.0000,-10168920000000000000.0000,204007299999999983616.0000,-34067870000000000000.0000,-147633800000000000000.0000,nan,9.6713,-85.1878,19.4000,nan
9,9-5-2012T17:5:15.8,9.9011,-85.5779,21.8000,3.0000,earthquake,122348000000000000000.0000,-134174400000000000000.0000,11826410000000000000.0000,365432999999999967232.0000,-91047880000000000000.0000,-10124610000000000000.0000,nan,9.9011,-85.5779,21.8000,nan
10,9-5-2012T17:26:10.27,9.9395,-85.5254,24.1000,2.7000,earthquake,73091720000000000000.0000,8554387000000000000.0000,-81646110000000008192.0000,-25774140000000000000.0000,-111695900000000000000.0000,27775960000000000000.0000,nan,9.9395,-85.5254,24.1000,nan
11,9-5-2012T17:51:55.35,9.9862,-85.5875,22.6000,3.3000,earthquake,622748000000000000000.0000,-646729600000000000000.0000,23981560000000000000.0000,908712800000000000000.0000,-168083000000000000000.0000,-39872860000000000000.0000,nan,9.9862,-85.5875,22.6000,nan
12,9-5-2012T18:56:52.97,9.7332,-85.1971,12.6000,2.4000,earthquake,45271770000000000000.0000,-22853250000000000000.0000,-22418520000000000000.0000,18551530000000000000.0000,-3431123000000000000.0000,24874840000000000000.0000,nan,9.7332,-85.1971,12.6000,nan
13,9-5-2012T19:1:10.84,9.8774,-85.6008,20.1000,2.8000,earthquake,129620700000000000000.0000,-179846700000000016384.0000,50226000000000000000.0000,70215270000000000000.0000,-94320150000000008192.0000,12236360000000000000.0000,nan,9.8774,-85.6008,20.1000,nan
14,9-5-2012T19:29:48.35,9.8026,-85.6011,19.5000,3.7000,earthquake,463431200000000000000.0000,359126300000000016384.0000,-822557500000000016384.0000,2489243000000000032768.0000,-3639505000000000098304.0000,11197710000000000000.0000,nan,9.8026,-85.6011,19.5000,nan
15,9-5-2012T19:33:47.92,9.9110,-85.5705,22.0000,2.7000,earthquake,74750500000000000000.0000,-73711830000000000000.0000,-1038671000000000000.0000,115579400000000000000.0000,30917270000000000000.0000,-11272150000000000000.0000,nan,9.9110,-85.5705,22.0000,nan
16,9-5-2012T20:8:51.77,9.9636,-85.5893,22.5000,2.9000,earthquake,255303000000000000000.0000,-249440099999999983616.0000,-5862906000000000000.0000,65785550000000000000.0000,-59923550000000000000.0000,-88301150000000008192.0000,nan,9.9636,-85.5893,22.5000,nan
17,9-5-2012T20:13:3.75,9.8884,-85.6079,20.4000,2.3000,earthquake,7215780000000000000.0000,-703170100000000000.0000,-6512610000000000000.0000,14785080000000000000.0000,-31427130000000000000.0000,2274659000000000000.0000,nan,9.8884,-85.6079,20.4000,nan
18,9-5-2012T20:13:50.8,9.9562,-85.5813,21.6000,3.5000,earthquake,1654579999999999868928.0000,-1572134999999999901696.0000,-82445340000000000000.0000,1430035000000000032768.0000,-469230499999999983616.0000,372390300000000016384.0000,nan,9.9562,-85.5813,21.6000,nan
19,9-5-2012T20:37:2.38,9.8542,-85.6136,18.5000,3.4000,earthquake,987335399999999967232.0000,-1348632000000000000000.0000,361296800000000000000.0000,779167700000000049152.0000,-630756899999999983616.0000,-211759500000000016384.0000,nan,9.8542,-85.6136,18.5000,nan
20,9-5-2012T20:47:57.42,9.6552,-85.1969,18.8000,2.4000,earthquake,40047700000000000000.0000,-32117360000000000000.0000,-7930339000000000000.0000,28772200000000000000.0000,-5606059000000000000.0000,17421320000000000000.0000,nan,9.6552,-85.1969,18.8000,nan
21,9-5-2012T21:0:36.89,9.9326,-85.8307,19.6000,4.2000,earthquake,23885820000000001703936.0000,-19016220000000000655360.0000,-4869597000000000229376.0000,7088475000000000032768.0000,-3170589000000000229376.0000,9629493000000000491520.0000,nan,9.9326,-85.8307,19.6000,nan
22,9-5-2012T21:10:19.98,9.6507,-85.2114,17.5000,3.1000,earthquake,430188099999999983616.0000,-351585600000000000000.0000,-78602430000000008192.0000,333736600000000032768.0000,-140111200000000000000.0000,166703900000000016384.0000,nan,9.6507,-85.2114,17.5000,nan
23,9-5-2012T21:57:37.56,9.8796,-85.2219,26.4000,2.0000,earthquake,3870008000000000000.0000,-7268710000000000000.0000,3398702000000000000.0000,9323724000000000000.0000,-5200205000000000000.0000,-2198685000000000000.0000,nan,9.8796,-85.2219,26.4000,nan
24,9-5-2012T22:2:5.05,9.5995,-85.1665,16.9000,2.4000,earthquake,27239610000000000000.0000,-47673930000000000000.0000,20434320000000000000.0000,12559270000000000000.0000,-25240930000000000000.0000,930676000000000000.0000,nan,9.5995,-85.1665,16.9000,nan
25,9-5-2012T23:9:55.35,9.7734,-85.1856,20.6000,2.8000,earthquake,104703800000000000000.0000,-90917049999999991808.0000,-13786760000000000000.0000,127327600000000000000.0000,-109192400000000000000.0000,44339210000000000000.0000,nan,9.7734,-85.1856,20.6000,nan
26,9-5-2012T23:27:3.26,10.0850,-85.6629,23.2000,2.2000,earthquake,16326490000000000000.0000,-19639170000000000000.0000,3312682000000000000.0000,13616990000000000000.0000,-7430638000000000000.0000,-7662120000000000000.0000,nan,10.0850,-85.6629,23.2000,nan
27,9-5-2012T23:44:29.78,9.9969,-85.6914,21.2000,3.3000,earthquake,1025764999999999967232.0000,-572582099999999983616.0000,-453183100000000016384.0000,42258930000000000000.0000,-377283500000000016384.0000,567527100000000016384.0000,nan,9.9969,-85.6914,21.2000,nan
28,9-6-2012T0:28:48.29,9.7937,-85.5493,18.9100,2.9000,earthquake,32518430000000000000.0000,-166498300000000016384.0000,133979900000000000000.0000,188064499999999983616.0000,-135239100000000000000.0000,-49092820000000000000.0000,nan,9.7937,-85.5493,18.9100,nan
29,9-6-2012T0:35:8.04,9.8774,-85.3753,23.8100,3.2000,earthquake,704099900000000016384.0000,-329071399999999967232.0000,-375028499999999983616.0000,71745160000000000000.0000,-322613799999999967232.0000,386503299999999983616.0000,nan,9.8774,-85.3753,23.8100,nan
30,9-6-2012T0:39:9.82,9.8778,-85.3757,23.8000,3.1000,earthquake,395361799999999967232.0000,-119985100000000000000.0000,-275376700000000016384.0000,332643699999999983616.0000,-172316099999999983616.0000,229375699999999983616.0000,nan,9.8778,-85.3757,23.8000,nan
31,9-6-2012T0:46:34.97,9.6647,-85.1085,16.9100,3.9000,earthquake,3157832999999999836160.0000,-7404071999999999737856.0000,4246238999999999901696.0000,4210462999999999901696.0000,-4420962999999999770624.0000,-865187000000000032768.0000,nan,9.6647,-85.1085,16.9100,nan
32,9-6-2012T1:27:29.38,9.8599,-85.6196,20.3400,3.8000,earthquake,3326925000000000229376.0000,-4995938000000000196608.0000,1669012999999999967232.0000,3168073999999999934464.0000,-2356633999999999934464.0000,-2193987999999999868928.0000,nan,9.8599,-85.6196,20.3400,nan
33,9-6-2012T2:20:0.34,9.9874,-85.6602,20.8600,3.0000,earthquake,312508400000000000000.0000,-309418400000000000000.0000,-3090037000000000000.0000,227779200000000000000.0000,-39754970000000000000.0000,-91214510000000008192.0000,nan,9.9874,-85.6602,20.8600,nan
34,9-6-2012T4:16:39.11,9.9882,-85.6496,21.0200,3.1000,earthquake,96196700000000000000.0000,-87051060000000000000.0000,-9145636000000000000.0000,349957799999999967232.0000,-426796400000000000000.0000,56075540000000000000.0000,nan,9.9882,-85.6496,21.0200,nan
35,9-6-2012T5:7:1.21,9.6460,-85.2008,18.8700,2.8000,earthquake,40070310000000000000.0000,-9810180000000000000.0000,-30260130000000000000.0000,182701100000000016384.0000,-46773180000000000000.0000,54171320000000000000.0000,nan,9.6460,-85.2008,18.8700,nan
36,9-6-2012T5:22:23.91,9.7029,-85.2112,19.5500,2.4000,earthquake,26912180000000000000.0000,-34527540000000000000.0000,7615362000000000000.0000,23822780000000000000.0000,-29055550000000000000.0000,10626930000000000000.0000,nan,9.7029,-85.2112,19.5500,nan
37,9-6-2012T6:12:48.58,9.9869,-85.6844,17.4100,1.8000,earthquake,5269531000000000000.0000,-5269531000000000000.0000,-313.6711,929160400000000000.0000,-2149202000000000000.0000,-2561319000000000000.0000,nan,9.9869,-85.6844,17.4100,nan
38,9-6-2012T7:10:3.73,9.6474,-85.1976,18.2000,2.2000,earthquake,13654530000000000000.0000,-19723010000000000000.0000,6068479000000000000.0000,12342190000000000000.0000,-12955940000000000000.0000,2153225000000000000.0000,nan,9.6474,-85.1976,18.2000,nan
39,9-6-2012T7:38:44.06,9.9181,-85.5627,20.7300,3.3000,earthquake,582309100000000016384.0000,-432943000000000032768.0000,-149366099999999983616.0000,816333899999999950848.0000,-49647920000000000000.0000,-561820700000000016384.0000,nan,9.9181,-85.5627,20.7300,nan
40,9-6-2012T8:16:50.36,9.7839,-85.5535,18.3200,2.9000,earthquake,179006600000000000000.0000,-235018400000000000000.0000,56011770000000000000.0000,146615000000000000000.0000,-105162200000000000000.0000,-40873350000000000000.0000,nan,9.7839,-85.5535,18.3200,nan
41,9-6-2012T9:7:53.41,9.7823,-85.5469,20.9000,5.3000,earthquake,674576299999999951896576.0000,-660027600000000045613056.0000,-14548720000000000524288.0000,852560899999999981518848.0000,71109479999999997640704.0000,285583700000000006160384.0000,nan,9.7823,-85.5469,20.9000,nan
42,9-6-2012T9:9:58.68,9.6685,-85.6058,17.0000,5.1000,earthquake,496142899999999977848832.0000,-354939700000000003014656.0000,-141203100000000000655360.0000,244965499999999997509632.0000,-42210979999999997247488.0000,241658400000000003145728.0000,nan,9.6685,-85.6058,17.0000,nan
43,9-6-2012T10:3:32.38,9.6307,-85.2299,19.8000,2.3000,earthquake,18316590000000000000.0000,-23369950000000000000.0000,5053356000000000000.0000,17742130000000000000.0000,-11139030000000000000.0000,-19143410000000000000.0000,nan,9.6307,-85.2299,19.8000,nan
44,9-6-2012T14:39:13.39,9.9229,-85.5562,22.7200,2.5000,earthquake,27843870000000000000.0000,7242774000000000000.0000,-35086640000000000000.0000,-25182440000000000000.0000,-57776530000000000000.0000,3191267000000000000.0000,nan,9.9229,-85.5562,22.7200,nan
45,9-6-2012T14:54:28.11,9.8801,-85.3789,23.5300,2.3000,earthquake,13127900000000000000.0000,-9524237000000000000.0000,-3603666000000000000.0000,31659650000000000000.0000,7386731000000000000.0000,-8000537000000000000.0000,nan,9.8801,-85.3789,23.5300,nan
46,9-6-2012T15:51:19.2,9.9190,-85.5597,22.4400,2.9000,earthquake,117139600000000000000.0000,-238109699999999983616.0000,120970100000000000000.0000,59297640000000000000.0000,-162083600000000000000.0000,84378089999999991808.0000,nan,9.9190,-85.5597,22.4400,nan
47,9-6-2012T16:2:13.65,9.6440,-85.1996,18.0300,2.0000,earthquake,2771320000000000000.0000,-7676091000000000000.0000,4904771000000000000.0000,4379475000000000000.0000,-8679819000000000000.0000,4317474000000000000.0000,nan,9.6440,-85.1996,18.0300,nan
48,9-6-2012T16:21:21.8,9.8554,-85.3563,24.1600,2.2000,earthquake,6676583000000000000.0000,-5719306000000000000.0000,-957277600000000000.0000,23843400000000000000.0000,-3215276000000000000.0000,3606935000000000000.0000,nan,9.8554,-85.3563,24.1600,nan
49,9-6-2012T17:25:38.1,9.6996,-85.2100,19.3100,2.6000,earthquake,50939110000000000000.0000,-53677640000000000000.0000,2738532000000000000.0000,54438120000000000000.0000,-61152770000000000000.0000,23559250000000000000.0000,nan,9.6996,-85.2100,19.3100,nan
50,9-6-2012T18:12:4.86,9.8793,-85.3781,23.3200,2.2000,earthquake,7497667000000000000.0000,3029050000000000000.0000,-10526720000000000000.0000,16196280000000000000.0000,-16467880000000000000.0000,3057099000000000000.0000,nan,9.8793,-85.3781,23.3200,nan
51,9-6-2012T18:30:51.89,9.6928,-85.2121,19.1000,2.3000,earthquake,17673160000000000000.0000,-18057610000000000000.0000,384445000000000000.0000,30424570000000000000.0000,-3465235000000000000.0000,-1407196000000000000.0000,nan,9.6928,-85.2121,19.1000,nan
52,9-6-2012T18:33:32.51,9.6873,-85.2908,20.6900,2.7000,earthquake,40625460000000000000.0000,-84794700000000000000.0000,44169240000000000000.0000,21334900000000000000.0000,-91115060000000000000.0000,76156060000000000000.0000,nan,9.6873,-85.2908,20.6900,nan
53,9-6-2012T19:58:34.65,9.9971,-85.5774,22.8600,3.9000,earthquake,6348730000000000458752.0000,-1700614999999999901696.0000,-4648114999999999770624.0000,3800700000000000131072.0000,-4944314000000000458752.0000,2852989000000000229376.0000,nan,9.9971,-85.5774,22.8600,nan
54,9-6-2012T21:25:1.22,9.6824,-85.2216,20.1000,2.1000,earthquake,6066032000000000000.0000,-12506570000000000000.0000,6440543000000000000.0000,8210121000000000000.0000,-11057880000000000000.0000,3033016000000000000.0000,nan,9.6824,-85.2216,20.1000,nan
55,9-6-2012T21:26:52.75,9.9204,-85.5627,22.2300,2.0000,earthquake,8102221000000000000.0000,-10711580000000000000.0000,2609359000000000000.0000,-109856400000000000.0000,-6293668000000000000.0000,5026991000000000000.0000,nan,9.9204,-85.5627,22.2300,nan
56,9-6-2012T21:32:53.06,9.8824,-85.3704,23.8100,2.1000,earthquake,4330265000000000000.0000,-1481167000000000000.0000,-2849098000000000000.0000,5287724000000000000.0000,-16327380000000000000.0000,2674554000000000000.0000,nan,9.8824,-85.3704,23.8100,nan
57,9-6-2012T22:55:4.06,9.6982,-85.2108,18.7200,1.9000,earthquake,4708460000000000000.0000,-6422352000000000000.0000,1713892000000000000.0000,4188404000000000000.0000,-5090539000000000000.0000,1673228000000000000.0000,nan,9.6982,-85.2108,18.7200,nan
58,9-6-2012T23:6:29.08,9.9830,-85.6609,20.2100,2.7000,earthquake,112540600000000000000.0000,-99056910000000008192.0000,-13483660000000000000.0000,61477610000000000000.0000,25681420000000000000.0000,64682780000000000000.0000,nan,9.9830,-85.6609,20.2100,nan
59,9-6-2012T23:14:42.8,9.8603,-85.6267,21.4600,3.4000,earthquake,609513600000000000000.0000,-497917699999999983616.0000,-111595800000000000000.0000,1372704000000000000000.0000,36405590000000000000.0000,-557048400000000000000.0000,nan,9.8603,-85.6267,21.4600,nan
60,9-7-2012T1:21:9.34,9.8752,-85.4918,19.9000,4.2000,earthquake,21990360000000000262144.0000,-16111920000000000524288.0000,-5878444999999999705088.0000,8458451000000000294912.0000,3576013000000000229376.0000,12560300000000000131072.0000,nan,9.8752,-85.4918,19.9000,nan
61,9-7-2012T3:34:31.8,9.9226,-85.5601,22.5600,2.5000,earthquake,28774500000000000000.0000,-42969510000000000000.0000,14195010000000000000.0000,51975540000000000000.0000,-28543240000000000000.0000,-7600933000000000000.0000,nan,9.9226,-85.5601,22.5600,nan
62,9-7-2012T3:41:38.34,9.9643,-85.7591,19.1200,3.2000,earthquake,730998599999999967232.0000,-732041999999999934464.0000,1043316000000000000.0000,277633900000000016384.0000,114354500000000000000.0000,-75345950000000008192.0000,nan,9.9643,-85.7591,19.1200,nan
63,9-7-2012T6:31:10.59,9.9851,-85.6555,20.9400,2.3000,earthquake,4920609000000000000.0000,-23867640000000000000.0000,18947030000000000000.0000,19840080000000000000.0000,-19712640000000000000.0000,-524122000000000000.0000,nan,9.9851,-85.6555,20.9400,nan
64,9-7-2012T6:47:50.21,9.7003,-85.2117,19.0900,3.0000,earthquake,223281800000000000000.0000,-284205699999999983616.0000,60923930000000000000.0000,20402490000000000000.0000,-226467800000000000000.0000,199037000000000000000.0000,nan,9.7003,-85.2117,19.0900,nan
65,9-7-2012T7:29:57.96,10.0900,-85.6817,22.4000,3.3000,earthquake,712340199999999967232.0000,-535290499999999983616.0000,-177049600000000000000.0000,822227399999999967232.0000,-219624300000000016384.0000,349252400000000000000.0000,nan,10.0900,-85.6817,22.4000,nan
66,9-7-2012T7:35:16.01,9.7244,-85.0960,18.2600,2.6000,earthquake,68730330000000000000.0000,-65202480000000000000.0000,-3527854000000000000.0000,47247150000000000000.0000,-24618610000000000000.0000,-51650720000000000000.0000,nan,9.7244,-85.0960,18.2600,nan
67,9-7-2012T8:44:1.44,10.1350,-85.7071,22.1500,2.1000,earthquake,2473379000000000000.0000,-2187053000000000000.0000,-286325800000000000.0000,17339150000000000000.0000,3013401000000000000.0000,-1004735000000000000.0000,nan,10.1350,-85.7071,22.1500,nan
68,9-7-2012T9:7:39.66,10.0950,-85.7538,20.0000,1.5000,earthquake,1771172000000000000.0000,-1726649000000000000.0000,-44523010000000000.0000,74604440000000000.0000,-993960500000000000.0000,978863500000000000.0000,nan,10.0950,-85.7538,20.0000,nan
69,9-7-2012T9:34:13.09,9.6539,-85.2165,17.9100,2.5000,earthquake,53046700000000000000.0000,-42271390000000000000.0000,-10775300000000000000.0000,15151300000000000000.0000,-26789840000000000000.0000,-41305570000000000000.0000,nan,9.6539,-85.2165,17.9100,nan
70,9-7-2012T10:2:34.54,10.1040,-85.7992,20.3600,2.2000,earthquake,21220940000000000000.0000,-20845930000000000000.0000,-375017100000000000.0000,13382040000000000000.0000,-650603500000000000.0000,2990667000000000000.0000,nan,10.1040,-85.7992,20.3600,nan
71,9-7-2012T10:24:44.52,9.9628,-85.2297,31.6200,2.0000,earthquake,12209640000000000000.0000,-11137780000000000000.0000,-1071865000000000000.0000,2381459000000000000.0000,968590600000000000.0000,3839615000000000000.0000,nan,9.9628,-85.2297,31.6200,nan
72,9-7-2012T10:53:30.72,9.6935,-85.2884,19.3800,1.8000,earthquake,2675411000000000000.0000,-2249242000000000000.0000,-426169200000000000.0000,5576876000000000000.0000,-895805200000000000.0000,1306689000000000000.0000,nan,9.6935,-85.2884,19.3800,nan
73,9-7-2012T13:2:13.33,9.6002,-85.1859,15.6300,2.1000,earthquake,4191786000000000000.0000,-1925769000000000000.0000,-2266017000000000000.0000,16365650000000000000.0000,3880455000000000000.0000,-4486449000000000000.0000,nan,9.6002,-85.1859,15.6300,nan
74,9-7-2012T13:25:58.03,9.6906,-85.0040,14.0000,2.4000,earthquake,43439170000000000000.0000,-37048500000000000000.0000,-6390672000000000000.0000,23602490000000000000.0000,-808615800000000000.0000,17434410000000000000.0000,nan,9.6906,-85.0040,14.0000,nan
75,9-7-2012T14:16:34.46,9.8709,-85.6273,20.3300,3.5000,earthquake,431563600000000000000.0000,-934224299999999950848.0000,502660700000000016384.0000,1864076999999999967232.0000,-809450499999999983616.0000,-475430400000000000000.0000,nan,9.8709,-85.6273,20.3300,nan
76,9-7-2012T14:47:50.02,10.1330,-85.7168,22.9200,2.3000,earthquake,16206910000000000000.0000,-11553530000000000000.0000,-4653373000000000000.0000,29527350000000000000.0000,-10509310000000000000.0000,8228873000000000000.0000,nan,10.1330,-85.7168,22.9200,nan
77,9-7-2012T17:50:3.2,9.8189,-85.2173,23.7100,1.9000,earthquake,6599605000000000000.0000,-7144845000000000000.0000,545239600000000000.0000,3596550000000000000.0000,-3928944000000000000.0000,1900161000000000000.0000,nan,9.8189,-85.2173,23.7100,nan
78,9-7-2012T17:58:32.88,9.9851,-85.7153,17.5800,3.2000,earthquake,547673799999999967232.0000,-545477299999999983616.0000,-2196490000000000000.0000,574191299999999983616.0000,-68813190000000000.0000,50131610000000000000.0000,nan,9.9851,-85.7153,17.5800,nan
79,9-7-2012T19:25:56.57,9.9619,-85.5853,22.5100,3.4000,earthquake,1147617999999999934464.0000,-1226497999999999934464.0000,78879800000000000000.0000,929812199999999967232.0000,-473526800000000000000.0000,96616769999999991808.0000,nan,9.9619,-85.5853,22.5100,nan
80,9-7-2012T23:47:38.11,9.9957,-85.5926,22.3100,2.2000,earthquake,19054900000000000000.0000,-3435761000000000000.0000,-15619140000000000000.0000,8687827000000000000.0000,-13791550000000000000.0000,7473045000000000000.0000,nan,9.9957,-85.5926,22.3100,nan
81,9-8-2012T0:50:46.45,9.6939,-85.2109,19.5500,3.0000,earthquake,307948899999999983616.0000,-286544000000000000000.0000,-21404960000000000000.0000,189080499999999983616.0000,-152459600000000000000.0000,103898400000000000000.0000,nan,9.6939,-85.2109,19.5500,nan
82,9-8-2012T0:56:41.83,9.9892,-85.6736,17.7000,2.3000,earthquake,27812770000000000000.0000,-25388300000000000000.0000,-2424473000000000000.0000,19224060000000000000.0000,3432487000000000000.0000,12867870000000000000.0000,nan,9.9892,-85.6736,17.7000,nan
83,9-8-2012T0:58:37.42,9.9254,-85.5738,22.2000,2.1000,earthquake,15392800000000000000.0000,-9711847000000000000.0000,-5680952000000000000.0000,523302500000000000.0000,-7148611000000000000.0000,9115128000000000000.0000,nan,9.9254,-85.5738,22.2000,nan
84,9-8-2012T2:37:59,9.6404,-85.1958,15.9000,1.7000,earthquake,2071234000000000000.0000,-2271974000000000000.0000,200739400000000000.0000,3652531000000000000.0000,-1364526000000000000.0000,60198280000000000.0000,nan,9.6404,-85.1958,15.9000,nan
85,9-8-2012T3:28:23.2,9.8941,-85.3951,24.4000,2.0000,earthquake,7371620000000000000.0000,-1132144000000000000.0000,-6239475000000000000.0000,5664188000000000000.0000,-8424760000000000000.0000,2855333000000000000.0000,nan,9.8941,-85.3951,24.4000,nan
86,9-8-2012T3:41:59.36,9.8037,-85.5892,20.2000,2.6000,earthquake,51833930000000000000.0000,-44986050000000000000.0000,-6847872000000000000.0000,53500630000000000000.0000,-63651370000000000000.0000,26598670000000000000.0000,nan,9.8037,-85.5892,20.2000,nan
